depth	MnO2	FeOOH	POC	FeS	FeS2	CaCO3	Age	BSi	NdnrPO4	NdrPO4	SurfMn_Ndnr	SurfMn_Ndr	SurfFe_Ndnr	SurfFe_Ndr	Illite	Basalt	O2	NO3	TMn	TFe	CH4	NO2	Ca	Al	TNH4	SO4	TNdnr	TNdr	TH4SiO4	TCO2	TH2S	TH3BO3	TH3PO4	H
0.113013907	0.013417895	0.059686579	3.813515711	3.2112E-56	1.70799E-05	0.174975406	0.547668201	2.595605818	9.06753E-05	4.64745E-05	3.72364E-06	1.90842E-06	1.10422E-05	5.65947E-06	0.194221848	0.128290501	7.53725E-05	3.92538E-05	3.8302E-07	4.26024E-08	2.21762E-16	1.03881E-07	0.010342642	1.9736E-08	1.17344E-07	0.027996791	7.45361E-11	3.82027E-11	0.000214562	0.002404452	6.48109E-07	8.70745E-05	2.89831E-06	1.96155E-08
0.12446132	0.013409201	0.059690032	3.813165581	3.23727E-56	1.70819E-05	0.174719344	0.602473255	2.59498239	9.06858E-05	4.64798E-05	3.71223E-06	1.90258E-06	1.10427E-05	5.65971E-06	0.194228871	0.128238796	7.50004E-05	3.91927E-05	4.19165E-07	4.00866E-08	2.24311E-16	1.08285E-07	0.010343609	2.03935E-08	1.28327E-07	0.027996535	7.92059E-11	4.05962E-11	0.00021649	0.002406376	7.01176E-07	8.70753E-05	2.90623E-06	1.95941E-08
0.136198525	0.013400295	0.059693567	3.812807498	3.26727E-56	1.70838E-05	0.174458835	0.658539195	2.594346785	9.06965E-05	4.64854E-05	3.70055E-06	1.89659E-06	1.10432E-05	5.65996E-06	0.194236059	0.128185912	7.46195E-05	3.91299E-05	4.56414E-07	3.77098E-08	2.26941E-16	1.12802E-07	0.010344591	2.09706E-08	1.39433E-07	0.027996272	8.39032E-11	4.30038E-11	0.000218455	0.00240834	7.55649E-07	8.70761E-05	2.91434E-06	1.9573E-08
0.148232859	0.013391171	0.059697187	3.812441306	3.30163E-56	1.70859E-05	0.174193826	0.715891809	2.593698859	9.07076E-05	4.6491E-05	3.68859E-06	1.89046E-06	1.10437E-05	5.66021E-06	0.194243416	0.128131823	7.42297E-05	3.90655E-05	4.9483E-07	3.54701E-08	2.29666E-16	1.17432E-07	0.010345588	2.14701E-08	1.50664E-07	0.027996002	8.86269E-11	4.5425E-11	0.000220458	0.002410345	8.1157E-07	8.70769E-05	2.92264E-06	1.95521E-08
0.160571844	0.013381825	0.059700895	3.812066846	3.3408E-56	1.7088E-05	0.173924263	0.77455725	2.593038468	9.07189E-05	4.64968E-05	3.67633E-06	1.88418E-06	1.10442E-05	5.66047E-06	0.194250945	0.128076504	7.38309E-05	3.89993E-05	5.34482E-07	3.33656E-08	2.32498E-16	1.2218E-07	0.010346601	2.18953E-08	1.62018E-07	0.027995724	9.33758E-11	4.7859E-11	0.0002225	0.00241239	8.68981E-07	8.70777E-05	2.93114E-06	1.95315E-08
0.173223192	0.01337225	0.059704691	3.811683956	3.38531E-56	1.70901E-05	0.173650092	0.83456203	2.592365474	9.07305E-05	4.65028E-05	3.66378E-06	1.87775E-06	1.10447E-05	5.66073E-06	0.194258648	0.128019929	7.34228E-05	3.89313E-05	5.75444E-07	3.13942E-08	2.35443E-16	1.27046E-07	0.01034763	2.22499E-08	1.73496E-07	0.02799544	9.81487E-11	5.03053E-11	0.000224582	0.002414478	9.27927E-07	8.70784E-05	2.93984E-06	1.95113E-08
0.18619481	0.013362443	0.059708578	3.811292473	3.43572E-56	1.70923E-05	0.17337126	0.895933015	2.591679741	9.07424E-05	4.65089E-05	3.65093E-06	1.87116E-06	1.10452E-05	5.661E-06	0.194266529	0.127962074	7.30052E-05	3.88616E-05	6.17794E-07	2.95534E-08	2.3851E-16	1.32035E-07	0.010348675	2.25379E-08	1.85098E-07	0.027995148	1.02944E-10	5.27633E-11	0.000226703	0.002416608	9.88453E-07	8.70792E-05	2.94875E-06	1.94913E-08
0.199494806	0.013352395	0.059712558	3.810892231	3.49267E-56	1.70946E-05	0.173087716	0.958697422	2.590981138	9.07546E-05	4.65151E-05	3.63777E-06	1.86442E-06	1.10457E-05	5.66127E-06	0.194274591	0.127902912	7.25781E-05	3.87899E-05	6.61618E-07	2.78406E-08	2.41707E-16	1.37147E-07	0.010349737	2.27634E-08	1.96824E-07	0.027994847	1.07762E-10	5.52324E-11	0.000228864	0.002418782	1.05061E-06	8.70799E-05	2.95788E-06	1.94717E-08
0.213131493	0.013342103	0.059716633	3.810483064	3.55688E-56	1.70969E-05	0.172799407	1.022882811	2.590269538	9.07671E-05	4.65215E-05	3.62429E-06	1.85751E-06	1.10463E-05	5.66155E-06	0.194282838	0.127842416	7.21411E-05	3.87163E-05	7.07007E-07	2.62531E-08	2.4504E-16	1.42387E-07	0.010350814	2.2931E-08	2.08675E-07	0.027994539	1.12599E-10	5.77119E-11	0.000231066	0.002421001	1.11444E-06	8.70806E-05	2.96722E-06	1.94524E-08
0.227113395	0.013331559	0.059720806	3.810064803	3.62915E-56	1.70992E-05	0.172506284	1.088517081	2.589544819	9.07799E-05	4.65281E-05	3.61049E-06	1.85043E-06	1.10468E-05	5.66183E-06	0.194291271	0.127780561	7.1694E-05	3.86406E-05	7.5406E-07	2.47881E-08	2.48518E-16	1.47756E-07	0.010351908	2.3045E-08	2.20651E-07	0.027994223	1.17456E-10	6.02013E-11	0.000233309	0.002423265	1.18E-06	8.70813E-05	2.97678E-06	1.94335E-08
